1210000000543534,Aether Industries Limited,0,1,0.05,INE0BWX01014,0915-1530|1815-1915:,2026-03-13,,BSE:AETHER-A,12,10,543534,AETHER,543534,-1.0,XX,1210000000543534,,0,0.0
1210000000544280,Afcons Infrastructure Limited,0,1,0.05,INE101I01011,0915-1530|1815-1915:,2026-03-13,,BSE:AFCONS-A,12,10,544280,AFCONS,544280,-1.0,XX,1210000000544280,,0,0.0
1210000000542752,AFFLE 3I LIMITED,0,1,0.05,INE00WC01027,0915-1530|1815-1915:,2026-03-13,,BSE:AFFLE-A,12,10,542752,AFFLE,542752,-1.0,XX,1210000000542752,,0,0.0
1210000000544350,Dr. Agarwal's Health Care Limi,0,1,0.05,INE943P01029,0915-1530|1815-1915:,2026-03-13,,BSE:AGARWALEYE-A,12,10,544350,AGARWALEYE,544350,-1.0,XX,1210000000544350,,0,0.0
1210000000500187,AGI GREENPAC LIMITED,0,1,0.05,INE415A01038,0915-1530|1815-1915:,2026-03-13,,BSE:AGI-A,12,10,500187,AGI,500187,-1.0,XX,1210000000500187,,0,0.0
1210000000532683,AIA ENGINEERING LTD.,0,1,0.05,INE212H01026,0915-1530|1815-1915:,2026-03-13,,BSE:AIAENG-A,12,10,532683,AIAENG,532683,-1.0,XX,1210000000532683,,0,0.0
1210000000539177,Authum Investment & Infrastruc,0,1,0.05,INE206F01022,0915-1530|1815-1915:,2026-03-13,,BSE:AIIL-A,12,10,539177,AIIL,539177,-1.0,XX,1210000000539177,,0,0.0
1210000000532331,AJANTA PHARMA LTD.,0,1,0.05,INE031B01049,0915-1530|1815-1915:,2026-03-13,,BSE:AJANTPHARM-A,12,10,532331,AJANTPHARM,532331,-1.0,XX,1210000000532331,,0,0.0
1210000000500710,AKZO NOBEL INDIA LIMITED,0,1,0.05,INE133A01011,0915-1530|1815-1915:,2026-03-13,,BSE:AKZOINDIA-A,12,10,500710,AKZOINDIA,500710,-1.0,XX,1210000000500710,,0,0.0
1210000000543322,ALIVUS LIFE SCIENCES LIMITED,0,1,0.05,INE03Q201024,0915-1530|1815-1915:,2026-03-13,,BSE:ALIVUS-A,12,10,543322,ALIVUS,543322,-1.0,XX,1210000000543322,,0,0.0
1210000000539523,Alkem Laboratories Limited,0,1,0.05,INE540L01014,0915-1530|1815-1915:,2026-03-13,,BSE:ALKEM-A,12,10,539523,ALKEM,539523,-1.0,XX,1210000000539523,,0,0.0
1210000000506767,ALKYL AMINES CHEMICALS LTD.,0,1,0.05,INE150B01039,0915-1530|1815-1915:,2026-03-13,,BSE:ALKYLAMINE-A,12,10,506767,ALKYLAMINE,506767,-1.0,XX,1210000000506767,,0,0.0
1210000000521070,ALOK INDUSTRIES LTD.,0,1,0.01,INE270A01029,0915-1530|1815-1915:,2026-03-13,,BSE:ALOKINDS-A,12,10,521070,ALOKINDS,521070,-1.0,XX,1210000000521070,,0,0.0
